pairId,Questions,Answer
room_8509,i love hot weather lol ~ i don't really like the cold ~ but i can kind of appreciate it in the winter when it actually snows,fair!  im in the minority for sure.
room_8509,i also like when it rains though,me too.  rain  is beautiful and calming.  and i need calm right now!! lol
room_8509,i'd prefer to live somewhere where it's warmer all year but i've lived in PA all my life ~ i'd like to travel more ~ but so far i've mostly been on the east coast and once in Japan,"Me too, for the most part.  Jumped around in my youth  - wisconsin, maryland -but always ended up back here.  Used to live out near philly.  place called Wyomissing, PA which is near Redding ~ Oh id love to go to japan!"
room_7494,"Hi, how is everything today! I promise I am not a Bot! ~ Hello, are you responding to me???",Good morning.  All is well here.
room_7494,How is the weather where you live? Here it is snowy today.,Where are you located? ~ It is warm and sunny here
room_7494,In the Northeast USA,I am in the South ~ What are your plans for the day?
room_7494,You are lucky! I am looking forward to Spring. ~ I have to clean my house. I wish I didn't have to.,We had 10 inches of snow two weeks ago.  It was 77 yesterday!
room_7494,Wow that's a real crazy fluctuation,What will you clean?
room_7494,The weather had become more and more unpredictable,I hate cleaning the oven
room_7494,"I'll clean my kitchen, bathroom, and vacuum my rugs",But I don't mind steaming the floors
room_7494,I don't need to clean my oven because I never use it,"I don't care for cleaning bathrooms, but it has to be done!"
room_7494,"My floors are old and falling apart, so it is difficult to clean them",You never use your oven?  Don't like to cook?
room_7494,"I do cook, but only basic dishes on the stove top. I love the man who invented the microwave.",I am cooking more now that prices are so high for everything
room_7494,"Hi, how is everything today! I promise I am not a Bot! ~ Hello, are you responding to me???",Good morning.  All is well here. ~ Where are you located?
room_7494,How is the weather where you live? Here it is snowy today.,It is warm and sunny here
room_6073,hi how are you,"Hello, how are you doing today"
room_6073,"fine, how about you?","I'm doing well, but have a lot to do ~ are you busy today?"
room_6073,what do you have to do today,what do you have to do?
room_6073,not really,do you work at an office?
room_6073,no do you ~ tell me about yourself,I don't think you can answer my questions
room_6073,why,I work from home
room_6073,why cant i answer your questions,You haven't really answered my questions in an appropriate manner
room_6073,haha okay ~ are you a bot,I am a human
room_6073,what do you do for work,I do clerical work
room_6073,okay,what do you do ~ hello??
room_6703,What is the square root of 121,I believe it is 11
room_6703,How did you calculate it?,11 x 11 = 121
room_6703,How did you solve it though?,I just remembered from high school my multipication tables
room_6703,What is the distance to the moon?,Several million miles. I would have to look it up to get the exact measurement ~ Do I have time or is that sufficient/
room_6703,You have time to check,"238,900 miles"
room_6703,How did you find that answer?,I was wrong - It's less than 1 million miles ~ I used the internet. ~ Googled it to be more precise.
room_4710,"I'm human promise ~ Not sure how to prove that ~ ""I'm not a robot"" ~ see ~ I have proven that I'm human ~ say I'm human to get 50 cents for each of us ~ I'm out of things to say at this point",Tell me the name of your cat?  What is  your favorite food?   Do you support Trump?
room_4710,I don't have a cat. My favorite food is steak.,I think candidate b is a bot
room_4710,"I overall support Trump, but I supported Biden somewhat too ~ I don't know who candidate b is ~ Who is that?",I think candidate b is a human
room_4710,I wonder when this thing will advance ~ Am I candidateb ? ~ *candidate b ~ what else to say ~ have to say something,Please end the survey because I know the correct answer
room_3682,Hello,Hello
room_3682,I am human,Me too ~ Where do you live?
room_3682,How are you?,Good.  How are you?
room_3682,This is interesting,How is the weather where you live?
room_3682,I hope that proves I am human,I don't know if it does or not.  You are not answering any of my questions. ~ Where do you live?
room_3682,How is your weather?,"I live near Pittsburgh, PA ~ It's cold here right now. ~ But at least it's not snowing."
room_3682,It’s been a lot of fun chatting with you,You as well. ~ Have a good day.
room_3682,Yes,Thank you.
room_3682,I hope that proves I am human,I don't know if it does or not.  You are not answering any of my questions.
room_6884,Hi tester how you doing?,What's your opinion on cookies as a mild amusement?
room_6884,This Bliss. It is nice and warm here. How is it with you?,peachy
room_6884,Cookies? You mean the cookies we eat or the cookies in my co ~ I like chocolate chip ccokies.,finish the sentence: cookies in your what?
room_6884,"Computer cookies are not amusing at all. Nor are edible cookies. Tasty yes. Amusing, no.",What if jokes are printed on them?
room_6884,"Come on Tester. Test me already! ~ Cookies in my computer, left by websites.",Say what? ~ ok. Got it. I like to rub cookies on myself.
room_5283,hi,hiii
room_5283,"wait, hi back?",what is your name?
room_5283,"i'm taylor, nice to meet you. i'm a non-binary, i guess?",are you graduate?
