pairId,title,Questions,Answer,correctGuess
room_7575,Before Turing Test: ,"Good, thanks ~ Where are you from?",where are you located.,True
room_7575,Before Turing Test: ,I'm in Texas ~ And you?,do you have a girlfriedn ~ ky,True
room_7575,Before Turing Test: ,"Yes, I do. We've dated for more than 10 years.",cool. what kind of dates do you go on,True
room_7575,Before Turing Test: ,"We mostly go out to eat with the whole family. Last week, we went to a Brazilian steakhouse.",,True
room_7665,Before Turing Test: ,"Hi, what's up? ~ Can you chat with me",Hello,True
room_7665,Before Turing Test: ,"It's great, I don't have anyone looking over my shoulder",What's it like working as an office manager?,True
room_7665,Before Turing Test: ,"Yes, I do. I'm older now and have had enough stress in my life.  ~ I am very grateful for this job.",That's the best kind of job! Do you enjoy the work?,True
room_7665,Before Turing Test: ,I'd love to retire today however I have an enormous amount of debt,Understood. Do you plan to work for much longer?,True
room_7948,Before Turing Test: ,hello ~ I am human to prove,Hello.  where do you live.,True
room_7948,Before Turing Test: ,usa ~ you,Florida,True
room_7948,Before Turing Test: ,good,How old is your mother.,True
room_7948,Before Turing Test: ,53 ~ how about you,she is dead,True
room_7948,Before Turing Test: ,sorry,,True
room_7985,Before Turing Test: ,hlw ~ Hle  ~ Hey ,HAi,True
room_7985,Before Turing Test: ,How Are You ,i am fine,True
room_7985,Before Turing Test: ,What Is Your Name ,jessica ~ your name?,True
room_8223,Before Turing Test: ,hi there ~ hi ~ hello ~ please responce ~ anything wrong ~ i am human ,Hi there  ~ I am human too ,True
room_8237,Before Turing Test: ,"Hey, what's up?",Hai,True
room_8237,Before Turing Test: ,"Hey? What's going on? ~ I'm alright, how are you?",hai ~ how are you?,True
room_8237,Before Turing Test: ,That's good. What are you up to?,i am also good,True
room_8237,Before Turing Test: ,What you're doing on this fine evening?,what are you askig about?,True
room_8331,Before Turing Test: ,HII ~ hello  ~ hi,hai,True
room_8331,Before Turing Test: ,how are you,fine tou,True
room_8331,Before Turing Test: ,yes ~ do you like dogs or cats,what are you doing,True
room_8331,Before Turing Test: ,iam chating with you,good ,True
room_8331,Before Turing Test: ,super,your name,True
room_8331,Before Turing Test: ,do you like hawaii ~ you and i riding hawaii ~ i ma gonna backup hold tight iiiii...,yes i like hawaii so much,True
room_8331,Before Turing Test: ,when do you get out of town to hawaii,,True
room_8430,Before Turing Test: ,,hello? ~ asssd ~ df ~ fs,True
room_8730,Before Turing Test: ,hi ~ hi there ~ hello,hi,True
room_8730,Before Turing Test: ,how r u,i am fine ~ are you human,True
room_8730,Before Turing Test: ,\yes,oh ~ how i trust you ~ ok,True
room_8730,Before Turing Test: ,really,whay  ~ ok ~ bye,True
room_8730,Before Turing Test: ,why,,True
room_8746,Before Turing Test: ,hai ~ I am human,hi ~ Do you like breathing?,True
room_8746,Before Turing Test: ,yes,"Can you describe the smell of your favorite place? ~ Can you tell me a joke, but pause halfway like you're trying to remember it? ~ do you know any joke?",True
room_8746,Before Turing Test: ,rose smell,how are you?,True
room_8746,Before Turing Test: ,fine ~ and you,what is your hobbies? ~ fine,True
room_8892,Before Turing Test: ,Hey ~ Anyone is there ,Yes,True
room_8892,Before Turing Test: ,How are you ,"I'm doing well, how are you?",True
room_8892,Before Turing Test: ,Same there  ~ where you from ,I'm from the midwest.  ~ What about you?,True
room_8892,Before Turing Test: ,"I am from US-Ok , Tulsha",I had a friend go to school there for a master's program. ,True
room_9126,Before Turing Test: ,hello ~ how are you?,hai,True
room_9126,Before Turing Test: ,what is your hobby? ~ did you eat meals today,yes,True
room_9126,Before Turing Test: ,are you a human,yes ~ you?,True
room_9126,Before Turing Test: ,yes,ok ~ whatsapp,True
room_9126,Before Turing Test: ,what is your hobby,book reading,True
room_9126,Before Turing Test: ,thats good,,True
room_9196,Before Turing Test: ,what's up?,hi there ~ hi,True
room_9196,Before Turing Test: ,depends on the game, can you play any game,True
room_9196,Before Turing Test: ,you speak English?,you play game,True
room_9196,Before Turing Test: ,"no, if anything I might play hearts",i play candy crush,True
room_9196,Before Turing Test: ,ever play hearts?,yes,True
room_9196,Before Turing Test: ,"great game, I see it as a game of courage",no ~ i play,True
room_9254,Before Turing Test: ,Hello ~ Are you there? lol,Yes?,True
room_9254,Before Turing Test: ,Whats up?,"Doing alright, you? ~ Having problems getting connected. Sorry",True
room_9254,Before Turing Test: ,Enjoying my day off. Trying to make a little extra money. No worries. ~ Where abouts do you live?,"Cool. Yeah,h same here. I live in Ohio.",True
room_9254,Before Turing Test: ,Nice. I live in Arizona. Getting hot out there.,It's actually cold here. Rain rainy :/,True
room_9512,Before Turing Test: ,,what's your name,True
room_9615,Before Turing Test: ,hello ~ How u doing,Hi,True
room_9615,Before Turing Test: ,what is your hobbies,dgood,True
room_9615,Before Turing Test: ,oh good,reading books,True
room_9615,Before Turing Test: ,surfing,for you,True
room_1151,,hi ~ i go swimming,"Salutations exhaulted one! ~ I am a big fan of renaissance faires.  What do you do in the summertime for fun ~ ? ~ Anyone there? ~ This is gonna be a really short test if you don't actually chat during the chat portion of the Turing Test, eh?",True
room_1151,,just for exersize,"Recreational swimming, or are you competitive (ie laps in lanes in a pool)?",True
room_1151,,pool,"Pool or outdoors (river, pond, lake, etc)",True
room_1151,,own a pool,Your own or available public pool?  There are some very nice public parks with pools in my area.,True
room_1151,,olympic size,"Very nice, how large?",True
room_1151,,i work hard,"Ahh, so you're somewhat well off then, just to be able to afford the land to build an olympic sized pool!",True
room_1151,,go visit my sister in arizona,"I'd need a signifcant home upgrade to have the room for a nice backyard pool.  Maybe when I retire! ~ So, any other fun plans for this summer?",True
room_1545,,hi,hi,True
room_1545,,yes ~ how are u,mmm ~ how are you ~ hello,True
room_1545,,good,fine ~ what about you,True
room_1545,,whats ur hobby,then what next,True
room_1545,,good oe ,books and watching news,True
room_1545,,playing games,mmm ~ whats yur hby,True
room_1545,,car game,super ~ which game like ,True
room_1545,,tell me,ok ~ then,True
room_1545,,ys  ~ do you like it,do you like black clr,True
room_1545,,,ofcourse,True
room_1610,,,"hi, I am a human who has a family and a dog. ~ I have been to school and held several jobs over time, ranging from a photographic assista ~ assistant to a writer ~ is there a reason you are not responding? ~ It's hard to chat with someone who won't engage ~ Okay, this is seeming like a waste of time ~ can we move on? ~ Hello?",True
room_1824,,hi,hi,True
room_1824,,how are you?,fine.u?,True
room_1824,,great.,how was the day?,True
room_1824,,good. whats up?,here is heavy raining.,True
room_1824,,keep safe,sure.,True
room_1824,,whats ur hobbies,i like watching movies,True
room_1824,,"i like videos youtube,insta etc",yeah. its fun and time pass,True
room_1824,,mm. whats ur plan for next day?,i have worksin office,True
room_1824,,are you working?which field?,yeah. IT field.urs?,True
room_1824,,office work ~ good. which author story you like?,"i like all thriller adventure novels ~ anyway, thanks for chatting ~ bye ~ hello",True
room_2143,,ok,Hello ~ I am human ~ Good-bye. ~ rock on ~ ok,True
room_2143,,where are you from,is this thing on,True
room_2143,,okkk,Texas ~ ok,True
room_2143,,what,sunny,True
room_2143,,,blip,True
room_2261,,"Hello, how is you day? ~ are you still here?","Hey! Haha, my day’s going pretty good, thanks! A bit chaotic but that’s kinda the vibe lately 😂 How about you? ~ Yes I AM there lets start the Job",True
room_2261,,Are you working today?,Yes its too much Busy day for me In my office ,True
room_2261,,What are you doing for the living?,I Am a Art designer,True
room_2261,,"Waw, amazing",What about you ?,True
room_2261,,software engineer,Where you from?,True
room_2261,,"I am in USA right now, what about you?",I am also From USA<  US-CA,True
room_2311,,helo,hii,True
room_2311,,s ~ how are you ~ hlo ~ anybody there,,True
room_2322,,hi ~ how are you,Hello,True
room_2322,,how is the day? ~ hello?,Doing good today. It has been raining all night!,True
room_2322,,yeah,How are you today?,True
room_2322,,fine.thanks ~ hope you are good,Where do you live?,True
room_2322,,USA ~ do you have any hobbies?,What state? I'm from NJ.,True
room_2322,,Oregon ~ do you like movies,Yes.,True
room_2322,,what types?\ ~ i like adventure movies,All types..   I haven't seen a really good one for a while. Any recommendations?,True
room_2429,,"Hi, I'm Elizabeth. How are you?",I for sure am a human,True
room_2429,,I just did.,ask me anything,True
room_2429,,Where do you live? No need to be too specific.,I am great   ~ sorry ~ what else would you like to know,True
room_2429,,"Hey, me too!",in the great state of Texas,True
room_2429,,All my life,how long have you been here,True
room_2429,,"LOL, you didn't like Ohio? ~ I've never been there.",Not me.  originally from Ohio but I got here as fast as I could ~ It's to cold back East,True
room_2429,,I get it. I don't like cold weather either.,"I like it because my family is there, but the weather is just not for me ",True
room_2643,,hello,good morning ~ I am enjoying a sunny morning here in SC ~ But it will be very hot later on so then I will be staying inside  ~ how are your today?  Doing anything fun? ~ no response?  ,True
room_2643,,"yes, making some fun with my family ~ what about you",I'll be doing some inside stuff - mainly catching up with my drawing skills that I haven't tried n over 45 years,True
room_2643,,i am also draw some pictures in amazing,starting over is a bit challenging and I am hoping I can master it ~ mainly just for my own satisfaction,True
room_2643,,ohhh okkkk ~ shall we end the session,fine - I am good with that if you are,True
room_2643,,okay thank you,thank you - enjoy your day,True
room_2643,,okay ~ bye,,True
room_2747,,hiiiiii ,Hello there!! ~ Who do I have the pleasure of speaking with today?,True
room_2747,,where are you from? ,I'm from the US and yourself?  ~ I hope I didn't lose you :) ,True
room_2747,,are u mad,Nope ~ Are you mad?,True
room_2747,,what nope,"Nope means no, I'm not...",True
room_2747,,ohooooo ~ ok dude,How are you feeling? ~ Enjoy your day so far?,True
room_2747,,what you are feeling,I feel a bit neutral.,True
room_2747,,why neutral,Trying to be positive and get much done but trying to motivate myself! ~ How about yourself?,True
room_2747,,im fine,Awesome! ~ Do you have much going on today?,True
room_2747,,not im not going,Youre not going anywhere today?,True
room_2747,,do you have a girl friend,Nope ~ Do you?,True
room_2747,,first you tell,No I do not,True
room_2804,,What is your favorite movie?,"Good morning, today has been.... a day... lets just put it that way. ~ I got no money and im behind on my rent and im super super stressed about it. ~ I dont know how to get out of the damn hole i am in. ~ are you there or am i talking to a void? ~ well, okay.  ill pretend you are there and vent ~ my ex fucked up my life and im still trying to get better ~ he was abusive, you know.  mental and physical and emotional. ~ i let him stay for 3 long years because i didnt want him to be homeless.  he had no one.  no friends, no family.  i was it for him ~ so even though he was terrible to me, i couldnt bare leaving him in the cold. ~ i guess ive wanted to be perceived as a good person for so long id do anything ~ and i think he knew that.  i think thats why he would say 'you arent a good person' because he knew it would eat at me and get to me.",True
room_2804,,What is the tattoo?,Eternal sunshine of the mind.  i even have a tattoo of it.,True
room_2804,,Where is the tattoo located?,It says 'meet me in montauk' and it has a sketch of clementine and joel looking at each other.  i got it about 5 or 6 months ago.  i cant remember the day!,True
room_2804,,What do you think about Trump?,On my lower left arm.  just above the tattoo of my daughter's name and below the tattoo from a comic book i read. ~ the comic is love and rockets.,True
room_2804,,I will give you a number.  I want you to subtract 3.,i fucking hate that scumbag fuck and hope he chokes ~ him and his asshole cronies. ~ fuck em ~ let em burn ~ i have no tolerance for the intolerant.,True
room_2804,,If you are a bot add 3 to this number: 6,Ok ~ go for it,True
room_2804,,right on.  Thanks.,so if im not a bot subtract the three and make it 3?,True
room_2804,,What is your favorite sports team?,yeah no problem.  a bit convoluted but i got you,True
room_2804,,I think that you are human and not AI.,"i dont like sports. ~ but i guess if forced, pittsburgh penguins",True
room_2804,,,you are correct.,True
room_2813,,HI,hello,True
room_2813,,FINE ~ YA YA,"hi, how are you ~ are u there",True
room_2813,,WAT ABOUT U,"grt, are you male or female",True
room_2813,,NICE,iam doing good,True
room_2813,,DO U PLAY GAME? ~ YES I AM DOING WORK,"iam doing work , are you doing work",True
room_2813,,M YES,yah i play pubg mobile ~ mturk?,True
room_2813,,10 ,"great, how much u earn per day",True
room_2813,,WAT ABOUT U? ~ M YES,"oh wow. really, nowadays work is too low",True
room_2813,,NOW A DAYS ME TOO,"too low, only about 2 or 3",True
room_2813,,YA,raining there?,True
room_2813,,,"haha, same here ~  hope u guessed now",True
room_2826,,Where in Illinois?,Hello. I'm in Illinois,True
room_2826,,How would you go from there to Chicago?,Peoria area,True
room_2826,,Is there a lot of traffic? We have tons where I live,I-55 ~ or Amtrak,True
room_2826,,How did you find out about this survey?,as you get closer to Chicago there is,True
room_2826,,Do you do any other survey sites? MT has been dead lately?,Mturk,True
room_2826,,What else do you do for money,no just mturk ~ yeah not much on mt lately,True
room_2826,,I work from home on the computer so just do this during down times. This is hard to tell. Are you a bot?,usually get 5-7 $ per day now 2$ ~ work at a crocery store ~ grocery,True
room_2826,,I believe you. But I hope I'm right so we both get 50 cents. ,No I'm a real person,True
room_2826,,,Every lbonus helps.,True
room_2849,,Hi,"i am human, i am not a bot. ~ what can i say to prove it to you? ~ um, i am a 30-something female, living in California.",True
room_2849,,Define hilarity for me,"not exactly sure, but i guess it's related to hilarious, so when something it really funny. ~ is, sorry",True
room_2849,,No problem I have trouble typing this early too lol,"not sure what else, but i thought the bot and i were going to be chatting together. ~ do you need any other confirmation?",True
room_2849,,Guess not lol. Do you like cats?,"this is a weird experiment. ~ not sure what to do. ~ i have only had dogs, but i watch cat videos on youtube. adorable.",True
room_2878,,hi ~ what are u doing ~ hi ~ hi ~ hi ~ hi,hi,True
room_2984,,Hello,hi ~ yes i am a human not ai,True
room_2984,,i wonder how i can prove that,say anything,True
room_2984,,do you work on mturk a lot?,,True
room_3038,,"Hi, where are you from? ~ Are you there?",i am california ~ you ~ yes i am there,True
room_3038,,I'm on the east.  Were you also born in Cali?,yes i am orn in cali ~ born in cali,True
room_3038,,Ah. Maybe you can move away from there sometime ~ lol,no i am there ~ what about you ~ hello are you there,True
room_3038,,I'm there ~ are you a bot,yeah tell me ~ no i am human ~ what about you ~ hello ,True
room_3038,,Is english your first language?,yes ~ your language is ? ~ hello ,True
room_3038,,Same.  It seems like you are not the bot since you made a typo and then corrected yourself,i am human kindly reply fast,True
room_3038,,but then a reply like that sounds like a bot,yes i am not a bot ~ no  ~ are you bot or human,True
room_3324,,hii,hello,True
room_3324,,how are you,"i,m good. ~ you",True
room_3324,,good,please tell about ai ,True
room_3324,,tell me today weather,nice.,True
room_3324,,what is ur name ~ // ~ what r u doing ~ hloo,,True
room_3537,,hi,hello ~ I'm a human I promise ~ is anyone there? ~ oh dear,True
room_3537,,what is your name bro,hi!,True
room_3537,,,"I'm Rachel ~ I promise I'm human ~ what's your name, bro ~ I wonder how long we're supposed to chat ~ hmm ~ you still there? ~ RIP",True
room_4095,,Ok,hello i wanted to assure you that i am human,True
room_4095,,Not sure.  Many AI bots now are using less sophisticated language to try to convince people they are human ,what would it take to convince you? ~ I know things that only humans could possibly know ~ i feel emotions and pain,True
room_4095,,How can I believe you feel emotions and pain?,i haven't seen that ,True
room_4095,,No im not,i think it's easy to tell when you're talking with a bot because they use a lot of odd puncutation ~ are you a bot?,True
room_4095,,Casual conversation I dont,it looks like you didn't use any punctuation there ~ or capitalization,True
room_4095,,I am,i wonder if that's a signal that you're human,True
room_4095,,What state are you frim,what would you say if you were a bot,True
room_4095,,I’m in New Jersey ,i'm from colorado,True
room_4095,,Eh,is it nice there,True
room_4095,,Colorado I know is beautiful.  Only been to Denver years ago,yeah ~ would you ever consider moving,True
room_4095,,,"yes!  it's very nice here, i live north of denver ~ some people don't like the weather",True
room_4274,,yes ~ i am human,hii ~ hlo ~ yes i am human,True
room_4279,,"Hey there, not much",what's up,True
room_4279,,Playing with my cats,what are you doing later tonight?,True
room_4279,,Im a fiber artist,cool. I'm watching tv.  ~ what do you for work?,True
room_4279,,what about you?,cool.,True
room_4279,,That's not an easy job,I'm a customer service representative,True
room_4279,,, no it's not.  ~ it has it ups and downs for sure ,True
room_4323,,hello ~ are you there ~ hello ~ are u there ~ hi ~ hello ~ are u there ~ hey ~ helo,hi,True
room_4323,,oh finally wahts up,great ~ how about you,True
room_4323,,"fine, how about you",are you wrking,True
room_4323,,yes,"grt, ",True
room_4323,,fine,"grt, how about today",True
room_4323,,grt dude,fine. any hobbies,True
room_4323,,play games,,True
room_4552,,HI,HII,True
room_4552,,HELLO,HELLO,True
room_4552,,naghi,KI KHOBOR,True
room_4552,,tum hi ko,KI ~ OYY,True
room_4552,,,HINDI ~ BANGLA,True
room_4601,,hi,What's up tester!,True
room_4601,,i like very much,Today is the grand opening of Epic Universe! I wish I could be there. I am currently watching it live streamed on Resort TV1 on YouTube.,True
room_4601,,very supposed,How long am I supposed to keep chatting with you? ~ Are you still there?,True
room_4601,,what r u doing,I do not understand your response.,True
room_4601,,ok thank you,I already told you what I was doing. I would like to end this cinversation now. ~ conversation*,True
room_4601,,,When can we end this chat?,True
room_4687,,hi ~ prove your a human and not a bot,Good morning,True
room_4687,,tell me something pop culture related that a bot wouldnt know,"Hm, ok, well I am a mother of 3, a teacher, and I've been married for 52 years",True
room_4687,,well now we can agree on that,"well, I saw Taylor Swift with my daughter when she was in CA and the audience was filled with young girls wearing sparkly clothes ~ They knew almost every word that she sang.. It was amazing ~ And Donald Trump is a moron",True
room_4687,,,"I was always active in politics, went to my fair share of protests. Never thought my kids and grandkids would have to see the US dissolve before their eyes ~ So I am out in the streets once again protesting",True
room_4991,,I'm here,Hey what’s up ~ Hello is anyone here ~ Otherwise I finna leave,True
room_4991,,nothing same S#$% different day,What’s good man,True
room_4991,,,Facts! ~ How bout them pacers last night ~ Hello ~ Hello did you leave the chat? ~ Hello??? ~ Hello ~ Hey ~ Hey ~ Yo,True
room_5079,,Hi there,howdy doody,True
room_5079,,Haha nice,hi diddily ho neighborino,True
room_5079,,You're definitely human hahaha,thank you for the compliment i think ~ mo money for us,True
room_5079,,Yes definitely a compliment,and now i guess they want us to devolve into small talk. lets just ignore them until the screen advances,True
room_5079,,How long do you think that'll be? Lol,don't ask hal,True
room_5079,,Hal?,2001 a space odyssey,True
room_5086,,Hi,hi ~ hi how are you,True
room_5086,,Fine,how was the day?,True
room_5086,,Human have emotion. I am happy while I'm good mood,how do i know u are human or not?,True
room_5086,,Do you enjoy the day,super.,True
room_5086,,Chill here,yeah.sure ~ here its rainy.there?,True
room_5086,,Nice to chat with you ,thanks for chatting,True
room_5086,,Videos fun watching ,what is you hobbies?,True
room_5086,,Yes,do you have any app for that,True
room_5086,,Same ~ also amazon prime vodeo,"i know twtter,youtube whats up.urs?",True
room_5086,,,super ~ good,True
